KEN|310|1|V11
KEN|310|2|V23
KEN|310|3|V32
KEN|311|1|V21
KEN|311|2|V32
KEN|311|3|V13
KEN|312|1|V31
KEN|312|2|V12
KEN|312|3|V23
KEN|313|1|V12
KEN|313|2|V21
KEN|313|3|V33
KEN|314|1|V22
KEN|314|2|V31
KEN|314|3|V13
KEN|315|1|V32
KEN|315|2|V11
KEN|315|3|V23
KEN|316|1|V11
KEN|316|2|V22
KEN|316|3|V33
KEN|317|1|V21
KEN|317|2|V32
KEN|317|3|V13
KEN|318|1|V31
KEN|318|2|V12
KEN|318|3|V23
KEN|319|1|V12
KEN|319|2|V21
KEN|319|3|V33
KEN|320|1|V22
KEN|320|2|V31
KEN|320|3|V13
KEN|610|1|V32
KEN|610|2|V11
KEN|610|3|V23
KEN|611|1|V11
KEN|611|2|V22
KEN|611|3|V33
KEN|612|1|V21
KEN|612|2|V32
KEN|612|3|V13
KEN|613|1|V31
KEN|613|2|V12
KEN|613|3|V23
KEN|614|1|V12
KEN|614|2|V21
KEN|614|3|V33
KEN|615|1|V22
KEN|615|2|V31
KEN|615|3|V13
KEN|616|1|V32
KEN|616|2|V11
KEN|616|3|V23
KEN|617|1|V11
KEN|617|2|V22
KEN|617|3|V33
KEN|618|1|V21
KEN|618|2|V32
KEN|618|3|V13
KEN|619|1|V31
KEN|619|2|V12
KEN|619|3|V23
KEN|620|1|V12
KEN|620|2|V21
KEN|620|3|V33
KEN|621|1|V22
KEN|621|2|V31
KEN|621|3|V13
KEN|622|1|V32
KEN|622|2|V11
KEN|622|3|V23
KEN|623|1|V11
KEN|623|2|V22
KEN|623|3|V33
KEN|624|1|V21
KEN|624|2|V32
KEN|624|3|V13
KEN|625|1|V31
KEN|625|2|V12
KEN|625|3|V23
KEN|626|1|V12
KEN|626|2|V21
KEN|626|3|V33
KEN|627|1|V22
KEN|627|2|V31
KEN|627|3|V13
KEN|628|1|V32
KEN|628|2|V11
KEN|628|3|V23
KEN|629|1|V11
KEN|629|2|V22
KEN|629|3|V33
KEN|630|1|V21
KEN|630|2|V32
KEN|630|3|V13
KEN|631|1|V31
KEN|631|2|V12
KEN|631|3|V23
KEN|632|1|V12
KEN|632|2|V21
KEN|632|3|V33
KEN|633|1|V22
KEN|633|2|V31
KEN|633|3|V13
KEN|634|1|V32
KEN|634|2|V11
KEN|634|3|V23
KEN|635|1|V11
KEN|635|2|V22
KEN|635|3|V33
KEN|636|1|V21
KEN|636|2|V32
KEN|636|3|V13
KEN|637|1|V31
KEN|637|2|V12
KEN|637|3|V23
KEN|638|1|V12
KEN|638|2|V21
KEN|638|3|V33
KEN|639|1|V22
KEN|639|2|V31
KEN|639|3|V13
KEN|640|1|V32
KEN|640|2|V11
KEN|640|3|V23
KEN|641|1|V11
KEN|641|2|V22
KEN|641|3|V33
KEN|642|1|V21
KEN|642|2|V32
KEN|642|3|V13
KEN|643|1|V31
KEN|643|2|V12
KEN|643|3|V23
KEN|644|1|V12
KEN|644|2|V21
KEN|644|3|V33
KEN|645|1|V22
KEN|645|2|V31
KEN|645|3|V13
KEN|646|1|V32
KEN|646|2|V11
KEN|646|3|V23
KEN|647|1|V11
KEN|647|2|V22
KEN|647|3|V33
KEN|648|1|V21
KEN|648|2|V32
KEN|648|3|V13
KEN|649|1|V31
KEN|649|2|V12
KEN|649|3|V23
KEN|650|1|V12
KEN|650|2|V21
KEN|650|3|V33
KEN|651|1|V22
KEN|651|2|V31
KEN|651|3|V13
KEN|652|1|V32
KEN|652|2|V11
KEN|652|3|V23
KEN|653|1|V11
KEN|653|2|V22
KEN|653|3|V33
KEN|654|1|V21
KEN|654|2|V32
KEN|654|3|V13
KEN|655|1|V31
KEN|655|2|V12
KEN|655|3|V23
KEN|656|1|V12
KEN|656|2|V21
KEN|656|3|V33
KEN|657|1|V22
KEN|657|2|V31
KEN|657|3|V13
KEN|658|1|V32
KEN|658|2|V11
KEN|658|3|V23
